District name,Category,Student group,0
Achievement First Bridgeport Academy District,English Learners,English Learners,0.0004952947003467063
Achievement First Bridgeport Academy District,Free/Reduced Lunch,Free Meal Eligible,0.0004952947003467063
Achievement First Bridgeport Academy District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,0.0004952947003467063
Achievement First Bridgeport Academy District,Free/Reduced Lunch,Reduced Price Meal Eligible,0.0004952947003467063
Achievement First Bridgeport Academy District,High Needs,Students With High Needs,0.0004952947003467063
Achievement First Bridgeport Academy District,High Needs,Students Without High Needs,0.0004952947003467063
Achievement First Bridgeport Academy District,Race/Ethnicity,Black or African American,0.0004952947003467063
Achievement First Bridgeport Academy District,Race/Ethnicity,Hispanic/Latino of any race,0.0004952947003467063
Achievement First Bridgeport Academy District,Students With Disabilities,Students With Disabilities,0.0004952947003467063
Achievement First Hartford Academy District,English Learners,English Learners,0.0004952947003467063
Achievement First Hartford Academy District,Free/Reduced Lunch,Free Meal Eligible,0.0004952947003467063
Achievement First Hartford Academy District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,0.0004952947003467063
Achievement First Hartford Academy District,Free/Reduced Lunch,Reduced Price Meal Eligible,0.0004952947003467063
Achievement First Hartford Academy District,High Needs,Students With High Needs,0.0004952947003467063
Achievement First Hartford Academy District,High Needs,Students Without High Needs,0.0004952947003467063
Achievement First Hartford Academy District,Race/Ethnicity,Black or African American,0.0004952947003467063
Achievement First Hartford Academy District,Race/Ethnicity,Hispanic/Latino of any race,0.0004952947003467063
Achievement First Hartford Academy District,Students With Disabilities,Students With Disabilities,0.0004952947003467063
Amistad Academy District,English Learners,English Learners,0.0004952947003467063
Amistad Academy District,Free/Reduced Lunch,Free Meal Eligible,0.0004952947003467063
Amistad Academy District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,0.0004952947003467063
Amistad Academy District,Free/Reduced Lunch,Reduced Price Meal Eligible,0.0004952947003467063
Amistad Academy District,High Needs,Students With High Needs,0.0004952947003467063
Amistad Academy District,High Needs,Students Without High Needs,0.0004952947003467063
Amistad Academy District,Race/Ethnicity,Black or African American,0.0004952947003467063
Amistad Academy District,Race/Ethnicity,Hispanic/Latino of any race,0.0004952947003467063
Amistad Academy District,Students With Disabilities,Students With Disabilities,0.0004952947003467063
